textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
1,senator carl krueger thinks ipods can kill you,0.13244565,0.089794635,0.202826646,0.164774276,0.235956038,0.174202755
2,who is prince frederic von anhalt,0.123181852,0.07817576,0.1779059,0.223573319,0.23805454,0.159108629
3,prestige has magic touch,0.12198005,0.029873157,0.181645889,0.231031408,0.27042511,0.165044385
4,study female seals picky about mates,0.116848727,0.042034687,0.155319964,0.29973358,0.18105896,0.20500408
5,no e book for harry potter vii,0.103352436,0.034060327,0.111687526,0.476024942,0.107919836,0.166954932
6,blair apologises over friendly fire inquest,0.142909496,0.072154046,0.226103795,0.152689334,0.243944728,0.162198601
7,vegetables may boost brain power in older adults,0,0,0.0926,0.4444,0,0.463
8,afghan forces retake town that was overrun by taliban,0.142632654,0.028613434,0.263940811,0.183314742,0.243557957,0.137940403
9,skip the showers male sweat turns women on study says,0.052074573,0.112824396,0.118617385,0.341355296,0.085805228,0.289323123
10,made in china irks some burberry shoppers,0.097437662,0.033714466,0.159474705,0.310793273,0.176115338,0.222464556
11,britain to restrict immigrants from new eu members,0.105220833,0.011445119,0.110963539,0.521537243,0.110752972,0.140080294
12,canadian breakthrough offers hope on autism,0.148127423,0.029337479,0.257376835,0.255469549,0.167991163,0.141697551
13,russia to strengthen its military muscle,0.105774419,0.009088392,0.1776786,0.443135718,0.092064722,0.172258148
14,alzheimer s drugs offer no help study finds,0.137753844,0.0282507,0.168887138,0.396665175,0.172883996,0.095559147
15,uk police slammed over terror raid,0.168774836,0.078963619,0.289275635,0.177492276,0.146532392,0.138961241
16,no rejects police state claim,0.141145902,0.036297627,0.235729582,0.22047385,0.209571036,0.156782004
17,oprah announces new book club pick,0.133126734,0.051565419,0.175635083,0.373018511,0.112381857,0.154272397
18,smith can t be buried until hearing,0.131631483,0.042041968,0.175001012,0.217561869,0.230271336,0.203492332
19,african nation hopes whoopi can help,0.12192519,0.037496136,0.183184177,0.236149136,0.228176692,0.19306867
20,tourism lags in bush s hometown,0.027085519,0.005878242,0.128886711,0.503515011,0.133397749,0.201236769
21,air france klm profit rises,0.14764093,0.046779986,0.204549647,0.246716079,0.218643573,0.135669786
22,au regrets sudan s expulsion of un envoy,0.106837882,0.028364013,0.164951618,0.432581639,0.149420054,0.117844795
23,taiwan s mr clean indicted steps down,0.114002457,0.028043978,0.142078615,0.38689567,0.190478633,0.138500647
24,martian life could have evaded detection by viking landers,0.1176,0,0.0588,0,0.1176,0.7059
25,turner pays for boston bombing,0.123553268,0.034107809,0.152858622,0.419043303,0.117554484,0.152882515
26,serena misses bangalore tournament,0.122797862,0.03667554,0.190008863,0.16626649,0.290865449,0.193385795
27,attorneys point fingers in fight between ryan o neal and son,0.104072427,0.038835787,0.187772517,0.273166281,0.20426516,0.191887828
28,pledge i was abused in frat hazing,0.107122956,0.033714742,0.206641148,0.221214632,0.216001936,0.215304587
29,whistle blowing web site exposed,0.123903596,0.030354539,0.179326831,0.292939925,0.202779118,0.17069599
30,growing unarmed battalion in qaeda army is using internet to get the message out,0.036794845,0.010367396,0.136672661,0.491361565,0.075797897,0.249005636
31,royal rescues presidential hopes with commanding performance,0.117547622,0.029816108,0.188988484,0.297339767,0.170644996,0.195663023
32,minister slams airlines on carbon,0.156387186,0.053468722,0.243485086,0.239262795,0.194376939,0.113019273
33,audio slide show a love story lasting years,0.144302857,0.046778597,0.198735883,0.288759544,0.17139054,0.150032579
34,fully cooked chicken strips recalled,0.133812349,0.032838928,0.207358707,0.2430386,0.210340587,0.17261083
35,madonna adoption bid approved,0.119567483,0.029282315,0.173538642,0.293294712,0.195122433,0.189194414
36,rowdy fans ejected from the open,0.101452587,0.013059748,0.15342541,0.496247424,0.084283906,0.151530925
37,snow wreaks havoc in east midwest,0.053681808,0.03495563,0.235787428,0.219285107,0.228292832,0.227997195
38,the energy challenge exotic visions how to cool a planet maybe,0.050064115,0.021123031,0.142301757,0.535890399,0.058076351,0.192544346
39,libby defense upsets judge rests,0.147494974,0.041746519,0.193542685,0.24108992,0.210895935,0.165229966
40,briton admits u s bomb plot role,0.097223274,0.03873888,0.163441786,0.428173726,0.149788634,0.1226337
41,routine mission turns into hunt for missing comrade,0.124064882,0.03404341,0.15284933,0.418610572,0.117883811,0.152547995
42,ex suspect slams anti terror laws,0.135706579,0.047218436,0.29203412,0.216291165,0.155239871,0.153509829
